,Rating,Reviews
23,10,"Awesome Movie, kick ass heroine For me this was the best, most enjoyable movie of 2021.What makes a great movie for me?1. i don't notice the movie as i am watching it, i am completely involved in it for all the playtime, from the trailers to the credits.👍 2. The second point is harder to describe but i guess i would say that it's the story is organic, it all goes together very well, it has an authenticity and realness to it.👍 included in both of these is wonderful acting, great cinematography, and a great story, plus a kick ass heroine."
24,6,Just OK I don't know who to blame Disney or Marvel .. but this movie has nothing to do with anything.. so plain.. not much action not much adventurous.. VFX not upto mark.. everything.. is not what Marvel was previously famous for.. is ruined .
25,2,She can't act. Now people can finally stop asking for a solo Black Widow film. Come on... we all KNEW this was going to su&k. They hype up the Russian version of Captain America and all his fight scenes put together total maybe 3 minutes. This is a by the numbers generic bore.
26,6,C+ (flat 6). July 21' @Regal Solid action sequences and moments that are bogged down by a mediocre story. Unfocused narrative. Too many ideas thrown in with little to no depth to them. No payoff.
27,7,"Good movie, shame Ray Winston was in it Totally unsuitable actor, whoever cast him ruined it. However quite entertaining, would watch again. Another chapter BW Avenger worth the watch discovering more origins of all of the Avengers."
28,2,"THE FINAL MARVEL MOVIE No, not the final Marvel movie ever made. The final Marvel movie that I will ever watch, let alone buy. What absolute piffle. The director, famous for nothing, created a movie that had plenty of action and very little else to make it worthy of more than 2 stars. I gave two stars for the occasional bits of comedy provided by the Alexei character."
29,2,"Trash widow Black Widow is a movie that I've wanted to see for years, ever since Civil War I've wanted a solo movie about her and we finally got it, too bad it was an epic fail.Black Widow is one of the worst marvel movies ever made, the fight scenes are absolutely terrible, it's insanely predictable, and the villain is one of the worst, they did such a bad job with her.It also has one of the worst lines of dialogue I've ever heard at the end and this is a filler movie, it just seems like a placeholder for other things in the future.Did it also seem like fanfic written by a 13 year old girl? Yep, did I only watch it for the post credits scene? Yep.Why does Yelena have no accent in the beginning but she does as an adult? It makes no sense. Black Widow is a really cool hero with a really interesting backstory but they failed in every way. Florence Pugh carried and she was the only good part. The finale is horrible.Black Widow is one of the worst Marvel movies, and I'm gonna give it a D-"
30,4,"You don't need to watch this one. This character should've stayed dead after Endgame.Scarlett earned an extra star after buttfuxking Disney with that lawsuit, but yeah I made myself watch this for the sake of giving it a chance and I'll never need to see it again.It's not awful just extremely forgettable. Who at Disney decided to give the most boring character in the MCU their own standalone?"
31,6,"Black Poop First of all, stop calling Black Widow a superhero! She is not a SUPER-hero. She's an extremely skilled and dangerous assassin. That's it. Nothing super about her, except for the ridiculous amount of times that she has suffered concussions and still able to walk around like a supermodel afterwards. In real life, she'd be dead long before this movie half way done. Like in the first action scene, she would've been dead already. This movie is nothing more than a spy action movie, not a superhero movie. Do we really need to see more ordinary heroes? Urgh... I only put 6 stars in it just to pay my respect to Stan Lee. Otherwise, I would've given it a 4. This is the worst Marvel movie ever since The Hulk."
32,5,"Mcu Is not cinematic Black widow Is more concerned checking of all the boxes (not rubbing anyone the wrong way. Instead of being a fun enjoyable movie It takes zero risks. Some scenes are just ridiculusly bad. Since when Is It not ok with sexy poses and having a sister that thinks It looks bad? Haha What? Natasjas sister should be on her side. Since when could superheroes take this much beating and explotions?Before the movie Is over you could think she Is Superman. Flying around bounching on airplane junk, 50 explotions in her face kind of strong and then do battle with supervillain.Its just to much unnesessary cgi crap.The movie would have been alot better If they just cut out all the cgi and did It oldschool all the way. But that's the problem with mcu.It's not cinematic. Batman the dark night Is cinematic. Heck! All batman movies I could easily call a Cinematic feat In their own ways.Black widow Is just not. Bitchplease It's 70% cgi that looks like a videogame, bad jokes, bad story, and why does the women always fight echother before talking. Its just weird.Every woman She meets wants to kill her literally."
33,9,"Long overdue Natasha Romanoff had been in the mcu for 10 years before getting a solo movie. While the movie was long overdue, it did not disappoint. This was exactly the sendoff Natasha deserved. The plot was jumpy at times and there were a few plot holes, but it was for the most part easy to follow and engaging. Florence Pugh did an incredible job at portraying Yelena Belova and I am excited to see her in future mcu projects."
34,3,"Deeply Tedious Black Widow is a very pointless film. It doesn't introduce anything meaningful into the MCU, and there's nothing inspired about it. It's just easily digestible content, which is forgotten about the moment the credits role. The opening is promising but it quickly goes downhill. All in all, it's a pointless film, that introduces nothing, and doesn't challenge anything."
35,5,Typical Superhero Movie Bad guy tries to destroy world. Brave hero/heroes stop him.Really tired of the whole concept. The movies are repeating it over and over again.The movies need to come up with new concepts rather than focusing on these repeated ideas.
36,10,The best marvel film Amazing back story. The best marvel film. Loved every second of it and thought all the characters were fantastic. Emotional too. Really hope there will be a second one.
37,8,"Deadly Russian dolls. I think that I am quite hard to please when it comes to superhero films, but Scarlett Johansson and Florence Pugh are definite plus points. Of course, a decent script and plenty of mind-blowing action also helps and I'm glad to say that Black Widow delivers both a strong story and lots of incredible, special effects packed set-pieces. For those not overly familiar with every entry in the MCU, the film might prove a little confusing at first, but it all eventually slots into place and ultimately proves to be a highly entertaining blockbuster comic-book adventure.As children, Natasha and Yelena are part of a Russian sleeper cell based in Ohio, their 'father' Alexei (David Harbour) and 'mother' Melina (Rachel Weisz) working for General Dreykov (Ray Winstone), who oversees the Red Room academy where young girls are trained to be assassins: Black Widows. After completing their mission, the family escape the U. S. and the girls are sent to Dreykov for training. Twenty-one years later, Natasha (Johansson) has defected to America to become a member of the Avengers, and is now on the run as a fugitive (can't remember why); meanwhile, Yelena (Pugh) is still working as a killer, under the influence of a powerful mind control serum. When she inhales an antidote and regains her free will, Yelena contacts her 'sister' and together they endeavour to kill Dreykov and destroy the Red Room, all the while avoiding deadly killing machine Taskmaster (Olga Kurylenko).I don't know who Cate Shortland is, or how she got this plum directing gig (there's nothing in her resumé to suggest that she could handle a movie of this type), but she does a surprisingly good job, combining action, comedy, and drama to good effect, with a decent pace sustained throughout the two-and-a-quarter hour runtime. The performances are solid (although Winstone's Russian accent occasionally slips), with particularly good turns from Pugh (who makes amends for Midsommar) and Harbour (who provides much of the humour), the fight choreography and CGI is very impressive, and, perhaps most importantly, the film is a whole lot of fun, from the white-knuckle opening scene to the spectacular explosive final act."
38,5,"Bleh Widow I think there's a story here, one of studio interference, COVID, social politics, something. There has to be a reason why this movie exists, right? It doesn't really make any sense. We're getting a movie about a character that's... Well, yeah. It kind of reminds me of Rogue One, in a way. Both are movies that don't really need to be, we don't gain anything from their existence, they don't further the respective stories of their universes in any particularly meaningful way and neither of them has any stakes or anything to them. The difference being that I quite enjoyed Rogue One, while it didn't further the grand Star Wars epic, I felt like it added flavor to those lesser people in the galaxy struggling to make a difference. Black Widow doesn't do that in the slightest, the only thing it serves to do is hit us over the head with some really over the top lessons on sexism. Lessons which I will continue to say are needed but good lord if we could have any sort of subtlety or natural discourse rather than just ramming in these ridiculous forced narratives into things in ways that only ever feel awkward and contrived. The woman can be the hero fighting against oppression without making the man into Lucifer incarnate and/or a complete idiot.Anyhow, my rants on political agendas in film aside, I love that this movie introduces Florence Pugh to the MCU. She's amazing and I can't wait to see more from her, either in future Marvel properties or elsewhere... Although I am noticing this trend of not loving her movies but consistently loving her in them. Weird. Aside from her though, there's nothing to this. Its an inconsequential film that will likely be remembered more for the lawsuit around it than the film itself. I'd even go so far as to say, unless your a huge Marvel fan, you can skip this one altogether. It really brings nothing to the overall experience."
39,5,"Free from the library is OK. I'll pay more than five or six bucks for this is not.Had some good moments but there are far better superhero movies.I like the woman focus for a change, but several plot holes and General unbelievability, make this an middling superhero show."
40,6,"Stole the show Florence Pugh was fantastic in this movie. Overall the movie was good but not great, but Florence was amazing. Worth a watch. I think more could have been done with Scarlets character. For a super hero movie it hit the mark."
41,8,"Good mix humour and action Really good cast playing their parts well, (maybe a couple of dodgy Russian accents in there, but nothing worth getting hung up over). Thoroughly enjoyed this as a stand alone and also fits the MCU."
42,8,"Well made film Like the directors other films, this is a very well made superhero film. Different from other recent superhero films, concentrating on comedy and drama and a story instead. When the action scenes come they are interesting and entertaining. Well photographed and acted."
43,5,They could have done so much more. I was really excited for this story but was very dissapointed. I was bored watching this while I thought it would become my favourite marvel movie. The fight scene's were very impressive and Yelena an epic character. It doesn't compare to other Marvel movies in my opinion which is a shame.
44,7,"Black Widow origin story, just about works. The origin of Black Widow = Natasha Romanoff ( Scarlett Johansson ) maybe a bit late in the day for some, however meeting her sister Yelena Belova ( Florence Pugh ), father Alexei = Red Guardian/Crimson Dynamo ( David Harbour ) & mother Melina ( Rachel Weisz ) actually makes this movie very relevant as these are 3 ( new to Marvel film universe ) characters that could have very interesting futures in further films ( or on Disney+ TV ) so from that point of view there is a lot of positives to come from this movie.So why 7 out of 10 as I could watch this movie a few times potentially as it is well made & basically the flaws of the movie drag it down a bit however the main characters are interesting & I do want to see more as possible.So let's hope we can enjoy these characters as the actors are very good.Overall the script gets a bit too ridiculous at times while moving the story on, as you are not helped as an audience to ever believe all the heroes are really in danger of death ( they needed to shock the audience but didn't ) so that loses a star as if the heroes can't be killed where is the tension in the viewing that makes the audience stay on edge & raise the emotion why we watch, as the better directors & writers understand the need for jeopardy.The next star lost in this movie for me is the main bad guy you just don't hate enough as an audience even though he has done terrible things, as with so many bad characters turning good in other Marvel movies etc it is important when you get an Evil character you have to really make the audience to agree they need to be destroyed for the greater good or at least for a believable reason where the audience can fully emphasise with the heroes on what must be done & not enough time was devoted to making the audience really want to see the bad guy actually get his comeuppance.The last star lost for me in this movie was the missed opportunity for the characters in the movie to earn redemption, as they gloss over any bad things someone may have done ( either forced to do or by choice ) so what have the heroes actually overcome, as we needed a much better story arc for each character showing their journeys from either bad to good or vice versa & how they were learning to either do better next time or just give in to their inner demons & let their greed or inner demons drive them on.Directors & writers are too afraid to give us more complex characters but complex characters are what as an audience we find most interesting & yes ultimately we want to see them grow & change in time ( mostly for the better ) as it is the characters journeys that the audience want the most.The positive for me though is this movie has me very interested is seeing the characters Yelena, Alexei & Melina in other Marvel movies or TV shows on Disney+ ( hopefully they will give these characters much more story arcs & character development ). The actors did the best job they could do with this decent script however they can all do a lot more if given the chance."
45,1,This movie Stink Stank Stunk. One of the worst I have ever seen. This movie is terrible. It is boring. It makes no sense. It is extremely comic book cold war anti-Russian. Do not waste your time. I keep watching to see if it would turn itself around. Does not happen. Bad from first to last second.
46,2,"Lost Potential for a long awaited Black Widow Solo Film I will admit Black Widow is my favorite avenger, so I was pretty disappointed with this film.It took me 2 months to get through it because I truthfully couldn't watch it in one sitting.However, I really enjoyed Florence Pughs character ""Yelena."" and was happy to see her return in the Disney+ ""Hawkeye"" series.Sadly, you won't miss much if you skip this movie."
47,7,"Better late, than never? I don't know I enjoyed this movie enough. The action and fight scenes were all amazing, which was great to see. Otherwise, this movie has a bunch of flaws. The Taskmaster was really bad. All of the villains in this movie, were bad. The story itself was just a setup for Yelena's future in the MCU. Yelena was also really funny. The whole family was. Overall, I enjoy the comedy and action. The story and villains were not that great."
48,8,"""Never let them take your heart"" Well worth the wait, but would have loved this in the theatres. Cate Shortland was able to use the best parts of Bond, Bourne and Hunt to make this long overdue and constantly delayed solo outing for Black Widow kick-ass amazing. Expectations were as high as a floating facility in the skies over Russia, and it broke that glass."
49,4,"My least favourite Marvel film so far Black Widow, a film released in 2021 exclusively on Disney+ was received fairly well upon its announcement, and it was obvious that fans were excited for the standalone story of Natasha Romanoff. Initially I had no intentions of watching this film or even taking a sneak peek at it. Why, you ask? Well it startled me why a Black Widow film was necessary and in the process of production after the character's death in Avengers: Endgame, however quite a lot of source material including the new villain Taskmaster hadn't been adapted from the comics, so bringing these characters canon to the Marvel comics was a nice edition to the collection of an increasingly expanding cinematic universe.Going into this film with all honesty I was well-aware that the final reviews for this film and overall speculation wasn't at a high, but a significant low. So to make things simple I went into this film knowing it wasn't going to be a brilliant film, and I'm not sure whether that had an influence on my final opinion of the film but what I will express is that Black Widow is frustratingly disappointing, poor and all round, bad.The main outlook of this film is that it takes a very edgy approach, defining it as when a film tries too hard to be the above things, and as a result seems phony and embarrassing, and Black Widow follows this criteria to the letter. From the beginning scene of the Young Natasha miraculously flying a plane at 11 years old, to the uncertain Russian accent adopted by David Harbour and the wasted & forgettable characters, Black Widow shoves a multitude of dull plotlines and scenes into the audience's faces. First off, one of my most despised moments in the whole movie is the scene between Natasha and Yelena, their altercation as adults halted to a stop merely by yelling 'truce' is nothing but a stupid and irritating moment. It is especially aggravating when conflict between characters just comes to a brake-slam like stop, it's almost as if the film hypes things up for nothing. To build on a wasted plotline, characters such as Alexi are incredibly bland and were so undeveloped and littered with unnecessary and unfunny characteristics. For instance, moments of dialogue exchanged between himself and Natasha after the helicopter land, as well as Alexi being shot in the chest by multiple arrows. Is this film trying to be serious or is it truly what Scorsese refers to Marvel movies being 'theme rides'? It just doesn't seem to find that balance at all with this movie.The most obvious plothole in Black Widow is the uninteresting and disjointed third act. This is assisted with more disappointing action sequences, such as the twenty or so armed soldiers pointing their rifles at Melina, whereby she shoots the ceiling allowing it to crumble on all parts of the bridge except her. And guess what, she escapes!! Again, more examples of things that just didn't work out for reasons such as unoriginal ideas include Natasha being halted the second she tries to stab Dreykov and her sudden tweek of emotion when she is attacked by him, I've seen better stuff than this in far more superior and better critically acclaimed films such as The Dark Knight and Fight Club.To sandwich this review from top to bottom, it is difficult to pick out moments you appreciate when you aren't particularly enjoying the experience, however I can pick out broadly that the fact that Black Widow as a character is fairly simplistic, and doesn't go too overboard with the 'superpowers' that the other characters within the MCU possess. It was just a shame that this film had to cut through Natasha's childhood, as that would have been what I would have liked to see most.Although I am not a diehard fan of the MCU and highly anticipate that I never will be, my appreciation of these movies may have not been puzzled together due to some other MCU movies I simply cannot remember or haven't seen. However, to the degree that I do understand, I don't care. It was unfortunate that Black Widow turned out this way, and sadly further explanation to why this film is highly flawed I do not believe is necessary, I'll let you figure that one out for yourselves."
50,4,"Bring tissues An incredible send off for one of the world's most influential superheroes.It was well worth the wait.The soundtrack was top notch, the visuals were incredible, and the cast was phenomenal. I cannot recommend this enough.Without spoiling anything, all I can say is: This movie is amazing and Cate Shortland's directing shows it.Note: Bring tissues. I was tearing up already at the beginning during the opening credits."
51,9,"Well made with great message Excellent acting as always from the two female leads, with fun and intense interplay between the pseudo-family. Packed with action from beginning to end and a message of hope and perseverance at the end."
52,10,"Marvel movie with background story I am wondering where all the bad reviews are coming from. I found it interesting to know more about the background story of Blackwidow alias Natasha Romanoff. Like in every Marvel movie it had some pretty good jokes and humor in it. Thanks for the movie, can't wait for the second part."
53,8,"Black Widow At first, the movie was very boring, difficult to understand, but little by little I understood the story and I got excited about the movie, but it got more and more fun to watch.The Black Widow movie is a movie that has action from beginning to end, the performances are very good, the effects too.The fact of Widow's origin and how she's been trained forever is a cool movie, but there are times when we get bored."
54,9,"A great movie that came out at the wrong time I love this story for Natasha, it was a great balance of funny, full of action, and emotional. I wish that Captain Marvel had come out around the same time in the MCU as Doctor Strange and that this movie came out in between Infinity War and Endgame instead. It is a wonderful story and was one of the first MCU movies that really show Natasha as a full character instead of just the sexy one which is exactly what she deserves!"
55,5,"Poser Another Marvel movie that doesn't narrate the story of the main character but instead makes references about the other Marvel movies, past and future as well. The beginning is quite promising then everything falls into this deep rabbit hole that doesn't make sense anymore. Dialogues are confusing and the whole attempt on making everything funny, even on sensitive issues, is pure cringe. A whole milking the cow situation, imo, it's not worth the 2+ hours of watching. Black Widow's original story from the comics is great, it probably just needed some time adaptations but it would've made an amazing film. I'm definitely disappointed."
56,5,"It pains me to have to rate this movie this low Like it really really hurts my heart. I thought we were finally getting a movie about Natasha Romanoff. Maybe finally we get a proper send-off for her.We weren't and didn't, not in this film. I don't really know what the hell we got, aside from the introduction to Yelena Belova (who, is amazing and kick-ass and Florence Pugh is perfect as her, but my point still stands). The story is convoluted, to the extent there really is one, and I don't know, I guess if this had come out several years ago, maybe it would have been easier to forgive. But not at this point.Watching the Assembled episode for the film, it became even more apparent that there wasn't a coherent story in this film. It's fine to have a film be character-driven, but there still has to be a direction to go in. This was all over the place.Lastly, the CGI/VFX were so visible (and thus terrible) at one point I was shocked. This was not up to Marvel caliber.Black Widow deserved so much better. I was so sad that this movie turned out the way it did."
57,10,"amirhoseinahg To put it simply, ""The Black Widow"" is a typical spin-off of the Marvel movie world, heavily indebted to the spy action genre and well-known Hollywood works in the genre. In fact, we are on the side of a spy trailer like the Bourne movie series, Mission Impossible and even James Bond, which wants to combine a family drama comedy with the life story of a popular character like Natasha Romanov in Marvel's specific formula. Slowly With such descriptions, it will entertain you as long as you control your expectations. Otherwise, we are dealing with a very simple film that has a serious shake-up in the body of its story."
58,6,"I don't like spiders! Black Widow (2021)-This film felt like it was a small part of a much bigger story stretched out to fit film length. As if it should have been at the beginning of 'Avengers Assemble' (2012) to show Black Widow's origins as they had with the other characters, instead of lumped on at the end of the ""Infinity Stone"" story arc with no real purpose.And it still seemed like they didn't have faith in her on her own and I don't know why, because they made that terrible 'Captain Marvel' (2019) film and Widow is a much more interesting and likeable character, played by a much better actress, as well as an established character with history to build on (I know that there is a catalogue of comics with information too).However, in this film, for some reason, the producers felt the need for this strong independent woman, famous for working best on her own and renowned on film, so far, for her singular past, to be furnished with a family.As such it didn't really feel like it was her own origin story as much as a ""What I did on my holidays"" essay to explain what she got up to while she was on the run after the events of 'Captain America: Civil War' (2016).In fact, all they did was refer to ""The Avengers"" all the time, suggesting to us that she was nothing without a team behind her. It wasn't their film!It might have actually worked better if she was sending a message to Steve Rogers to get her actions off of her chest, if only they were worth talking about. Just at the start or the end to indicate where it stood in the timeline more clearly and get the ""Avengers"" part out of the way.If there had been more about her origins it would have been good too, as that was all very quickly swept over. That's what the fans all wanted to see anyway from this film, but it was a bit half hearted.Instead, we got a filler film with only hints of her past, as a way to introduce new characters and set up the 'Hawkeye' (2022) series and a potential replacement for her in future Avengers productions.If it hadn't been a film about an existing character and hadn't been set in the Marvel universe that we have already invested in, it might have been a good film in its own right, like a 'Bourne Identity' (2002) or something but as a follow up to 'Avengers: Infinity War/Endgame' (2018/19) it fell quite flat.That is to say that it IS a good film, but it just doesn't have the wow that Scarlett as The Widow or the fans deserved or enough oomph to come after the other much more epic adventure.I actually rate Scarlett really highly and think that she is underrated along with her character. Let's hope that they find a way to bring her back in future instalments and give her a script worthy of her excellence.As for the supporting actors, I found them acceptable, but not outstanding.I usually love Rachel Weisz, but found her a bit flat too and Ray's accent was patchy at best and I can only imagine that they used David Harbour to try and bring in the 'Stranger Things' audience. He was a bit too comedic for me and unnecessarily so, like 'Fat Thor' in Endgame.It's definitely watchable and my comments are harsh, but we have come to expect better from Marvel, it's not DC after all. I hope this isn't an example of what Disney is going to do with the franchise going forward.615.22/1000."
59,6,"VISUALLY STUNNING The cinematography and production design was on-point. Although, everything else was ""okay"" it still was enough to put the film in a slightly higher rank compared to its contemporaries. I just felt that the comedic antics were a bit corny and unnecessary."
60,6,"Quite bad really Considering the franchise its connected with, this really wasn't that good.The storyline was very Winter Soldier and the horrendous accents made me feel sick.There were some humorous moments, but not enough to hide the fact that this film was a one time watcher.Merely watch it to keep up with the official Avengers timeline, but once you've watched it, never ever watch it again."
61,5,"Pretty weak... Is it just me , or any new entry into the superheroes franchises getting less and less interesting and engaging? Story is weak , action is generic , acting is subpar...Me no likie much )"
62,9,"Highly underrated I can only assume the pandemic ruined whatever chance this entry to the MCU had of succeeding, but I think it deserves a much better review than it's received. Having seen every other Marvel movie, this is easily better than half of them (although a bit longer than needed). I only hope we get to see more of Yelena and Red Guardian in the future!"
63,1,"You have to watch it to believe it The stupidity and tacked-on virtue signalling is on another level with this one. The on-the-nose (pun intended) pandering makes this film a chore to watch, which made me a bit sad, because I felt that Natasha Romanoff had deserved a much better film than this audacity.In which has to be the worst Marvel movie of all time, Black Widow not only discovers that she's nothing special, she also has to fight an old white man in a castle in the clouds, the ultimate patriarch, the manifestation of the enemy of the third wave.This man, you see, is a crazy evil mysoginist who calls girls the ""one natural resource the world has too much of"". Yes, he actually says that in the film. And who would be more fitting to manipulate into being his physically superior, invincible brutes than girls, right?But wait a second, you might interject, how does he stop them from killing him? With a microchip in their brains? With clever blackmail? No. He does it with pheromones, and I wish I was making this up. And that's why not even Natasha can kill him initially, until she breaks her own nose in what has to be the most ridiculous scene ever put to film. Get it? Nose broken, no more smelling you, haha. Why didn't you use a gun? I have no idea, and neither did the writers of this stupidity.And as usually, every man is ridiculous and incompetent, except for the diverse guy who gets stuff for her. He's a nice guy. An ally, you know?I feel genuinely sorry for Scarlett Johansson. Nobody deserves such an atrocity, especially not one of the finest actors of the MCU, and it's really hard to believe how pathetically Disney tries to pander to ""younger audiences"" with ""modern sensibilities"", sacrificing good story-telling, characters and authenticity for another display of their fake morals. Ask poor John Boyega."
64,10,Entertaining! Little different approach as per continuation of journey and backstory together. The overall runtime was entertaining action scenes were awesome and the story-line was decent! It was a decently entertaining movie!
