,Rating,Reviews
10,10,"evening light film Sweet, bright, silly, funny, with a great power of kindness and friendship. Well, yes, there are fights and shooting, but they are as naive as possible and made, again, purely for humor. This tape is the perfect choice to take the kids to the movies during their summer break, they're sure to love it and the adults won't be disappointed either. Ant-Man and the Wasp is a superb recreation, and not just from the scope of Infinity War."
11,7,"Its a fun film........... So when ranking the MCU films, this would be in my 10 least favorite. But I do like this film. It is a fun film and if being honest is one of the more easy to watch marvel films. Paul Rudd is very charming and fun as Antman. And I like the action and jokes throughout. But the film when comparing it to other MCU films is..... rather forgettable. But I do like this film. There isn't anything really wrong with it. Its just not one of the MCU'S best films."
12,1,"1 Anaged to be better than expected. 'Ant-Man and the Wasp' to me was not as great as critics are saying, but it is also nowhere near as bad as people here have said, while sharing a few of their criticisms. Do like the character of Ant-Man. He is not exactly a household name and is always tossed aside in favour of other superhero characters like Spiderman that."
13,8,"Marvel Cinematic Universe Marathon 2019 #21 Wow! I never thought that Peyton Reed can do the impossible and deliver a smashing Ant-Man film. But in my surprise, Ant-Man and the Wasp is a well written and genuinely funny film that is far more superior than it's previous installment.Paul Rudd impersonating Michelle Pfeiffer and become a diva all of a sudden is one of the best thing this film offered and it is too bad he never kissed Michael Douglas. I was rooting for that moment."
14,7,"A perfectly average MCU installment I love Paul Rudd and Ant Man. This film is good, but it's nothing special. The end credit scene holds the most weight of the whole thing. It's funny with typical MCU wit, it has good action, and a good message about family and love. But on the whole it doesn't really stand out in the lineup of the franchise."
15,8,"5 Such as in emotional scenes that are actually quite poignant and heart-warming (more so generally than 'Ant-Man')and then interrupted by a joke that is not only forced and unfunny but also not belonging in the scene, though more sporadically thankfully than before. The family scenes are a mixed bag, sometimes they are sweet and touching, the chemistry is more believable here, while at other times they're a little flat and predictable, contributing towards a few rare dull stretches in a film that generally is appropriately lighter in tone and faster paced."
16,7,"Cassie = MVP Ant Man remains one of the more creative ideas of Marvel. The shrinking and expanding just creates so many peculiar scenes, it's awesome. And oh man, wouldn't it be so convenient having some of these shrinkers and expanders ourselves?Cassie is the MVP for me, her always saving Scott is just too cute.We learned more about the so-called quantum realm which somehow tries to combine quantum physics with hocus pocus. It is quite an intriguing and impenetrable concept and I'm curious as to what they will do with it in Endgame."
17,8,"I'm NOT going to write a synopsis. I like superhero films. Most of them have some levity. My firm belief is that a successful movie must have some comedy relief. This one has more than its share. I won't list them, but there were many subtle references and clever things. Probably the least subtle or clever was the cameo from Stan Lee, which he usually pulls off. But this cameo is just a pointless remark made completely out of context, seemingly only to fulfill the tradition. I used to live in S. F. so it was fun trying to make out which neighborhood they were filming in. All in all, a light-hearted movie with some terrific effects moving a fairly thin plot along nicely."
18,7,"Decent follow up I loved the first one. This one was just lacking something I can't quite put my finger on. The villains were unimpressive, if you can even call them villains. That Ghost character wasn't really even necessary. I'm excited to see more of Ant Man though in future MCU movies."
19,7,"Ant man 2: better than the original but still not great Ant man and the wasp is a improvement over the last movie, but still not great, I do think that the villian is underdeveloped and that there's too many story's going on at once, but it's always entertaining, and of course, the end credit scene is iconic."
20,8,"Enjoyable This was a fun movie which did not take itself that seriously. A really important movie for the MCU as it introduces the quantum realm which links heavily into Endgame. It was much better than the first. The first movie was very kiddish in tone where this, although still aimed at a younger audience, was still a bit more adult and credible. There were some really funny moments in this. Rudd was superb and his trio of friends great. I also really like Douglas. Lilly makes a great wasp but my only criticism really was that it really championed her as being the capable hero and Ant Man's Rudd as being a bit of a loser and buffoon. Not cool. A good watch though. Better than I expected."
21,5,"90% Disney 10% Marvel Maybe you thought that the first one would have shown the futility of repurposing an Avengers hero as a Saturday Morning Comic. You'd be wrong. If you are past puberty the only reason to watch would be on the offchance of seeing.michelle pfeiffer in front of the camera again, if only for a walkon."
22,9,"A mini Marvel movie to bigger Marvel movie The gang has returned to this series.Scott is under house arrest as a result of his actions in Captain America: Civil War. However, trouble arises when fresh opponents approach him. As a result, he seeks assistance from Hope Van Dyne (Henry's daughter), who obtains the Wasp suit. First and foremost, Scott's suit was ""totally"" damaged. But, in Cassie's trophy, his suit was fine towards the middle of the film. That's all right.Ghost (a.k.a. Ava Starr) and Sonny Burch are his adversaries this time. Not until Bill Foster appears as the main enemy. It's strange to put Bill in the role of enemy.Not only that, but Janet Van Dyne makes her first appearance in the MCU. Her comeback (which originally emerged in Scott's body) was fantastic. But I'm looking forward to her next appearance in Ant-Man and The Wasp: Quantumania.The gang's performance was improved this time, but the addition of Laurence Fishburne and Michelle Pheiffer makes the film rather interesting."
23,3,"Atleast they're improving Had some laugh here and there but it is ultimately forgettable. Mostly because of the grounded and uninspired story. You can guess what's going to happen and how they're going to happen the whole time. People shrinking and unshrinking back is what the action scenes are basically, well that and some boring car chase. It is not as generic as the first one, but it's not that good either."
24,6,"A needed sequel that ends up not being destacable at all. Ant-Man and the Wasp is the charming direct sequel to the more charming 2015's Ant-Man. Like its predecessor, the film lays its foundation on a small-scale story so that it can focus on its not-so-small characters, on whom it ends up depending too much, giving birth to a plot with little in particular yet still managing to give you a smile more often than not."
25,4,"Sigh I'm trying to catch-up with the MCU films, but boy...this has been hard.In fact, I even enjoyed enough the first Ant-Man, but this just feels like another generic episode of a long TV show...All the (weak) jokes every 30 seconds, all the jokes in the middle of fights, the predictability, the same formula, always playing safe (this even with bad CGI to ""help"")...I don't know, I just didn't care about anyone or anything. Probably, I can't stand any more MCU films? Maybe it's too much?But I like Shang-Chi, I like Thor: Ragnarok. I'm really confused."
26,9,"I am an Antman fan for sure, but I know how sequels can go... Happily this second installment is even better than the first. Marvel, whatever you do keep the writers for a third eppy, they put in just the right amount of droll humor to keep the story moving. While I enjoyed Antman enough to watch it about six times already, I have watch Antman and the Wasp something like ten times...yes I've been assimilated, heh heh..."
27,8,I was not having very high expectations with this part But the movie is mind blowing This movie is just next level one of the best mcu movies and i would highly recommend you to watch this amazing sci fi movie superb. Go and watch just now goo.
28,7,"A solid sequel Ant-Man and The Wasp is a fun adventure for the characters. The cast has great chemistry, which is assisted by the admirable comedic portions of the film. The visuals are well done, with great editing to help capture the different fight and other intense sequences. A little character development is lacking, but it doesn't take much away from the plot. The overall storyline is exciting and has a nice emotional depth, but does sometimes fall short of being completely eye grabbing. Otherwise, the movie is a worthy addition to the MCU."
29,4,"Nothing new or interesting here... #MCUrewatch. Well, it is inevitable that after a decade of films, originality becomes somewhat of a mission impossible. Ant-Man 2 offers nothing new or interesting we haven't seen before. The villains are by far the weakest of the entire MCU. As a matter of fact: this film seems to solely exist to explain the quantum theory (which will make time traveling possible for Avengers End Game). And in that case a 120 minutes film is just too long."
30,3,"Bad movie We can't say that this movie is a great sequel to a not-so-spectacular first part. It insists on presenting an unusual divorced couple where the former couple love each other and the daughter has no conflict with the matter. Paul Rudd offers a hollow character, unsympathetic and who repeats the same gags over and over again. All the supporting characters lack brightness with the exception of Michael Peña who luckily has a couple of jokes and Randall Park who steals the movie with his character. Michael Douglas puts a little style and the rest almost nothing. A movie without villains is a waste of time. There is no drama, there is no moral, the jokes are repeated, there is hardly any freshness and the final half hour is appalling as there is too much cgi without substance or content."
31,8,"Very creative and fun The movie is a lot of entertaiment and it surprised me how most of the screentime is action scenes (Not violent lol) with very funny ideas like the ""hotwheels"" and laughable comedy, not as other generic marvel jokes, the villain is confusing but it has a tragic story after all, it has his flaws like the physics are nonsense and sometimes the vfx is weak but still a really entertainment film, if you haven´t seen go watch it."
32,9,The most underrated Marvel franchise With time off I've gone back over the whole back catalogue of Marvel and it dawned on me how underrated the Antman franchise really is Maybe it's the closeness of when the two film were realised in terms of the following juggernauts of the Avenger movies but Paul Rudd really is a perfect Antman plus the supporting cast really do back the movie up with fantastic pacing I hope the next in the series keeps up the great work.
33,9,Great movie! Ant-Man has literally become one of the most important characters of the whole MCU!
34,8,"Fun, humorous and entertaining Ant-Man helps Hank Pym and Hope van Dyne search for Janet who is lost in the quantum realm.This is an enjoyable movie that works better in the overall narrative of the Marvel Cinematic Universe than it does as a stand-alone feature.The search for Janet is a good, simple idea for the main plot, but it is slightly cluttered by some character moments, such as the backstory of the main antagonist and the reappearance of other side villains. The connection between Scott Lang and Janet is also somewhat dubious. However, the significance of developing the concept of the quantum realm is important in the bigger picture of the MCU 'infinity stones' era and this is where strength of its storytelling lies.Personally I do not take the issue with minor story problems in a movie played so much for laughs. Humour is a big part of 'Ant-Man and the Wasp' and the verbal and sight gags all work for me. Actors like Paul Rudd, Michael Peña and Randall Park are gifted comedic performers and I enjoy listening to their banter here. The dialogue is well written and performed by all.Visually it is similar to the original 'Ant-Man' with hugely fun and thrilling effects-driven sequences. It mixes the large and small worlds perfectly to create great spectacle.The more straight actors such as Michael Douglas, Evangeline Lilly, Lawrence Fishburne, Michelle Pfeiffer and Hannah John-Kamen are on good form. Abby Ryder-Fortson is great once more as Cassie.I think it has one of the best mid-credit sequences of any MCU movies and it is essential to watch this prior to seeing 'Avenger: Endgame'.Overall I prefer it to the original as there is less of the obvious exposition dialogue and importantly it held my 5 year old daughter for the full duration."
35,7,"Fun The first movie was better, but I watched this movie in the cinema and it was very enjoyable."
36,1,"Ant-Man and the Wasp The worst Marvel movie, the movie ruined all the good things from the first part, the first part was not a good movie, but it was much better than the second part, I don't recommend watching it."
37,7,"You want a juice box and some string cheese? I liked this movie a lot. When it came out after Infinity War, it was regarded as a ""lesser"" Marvel effort. Something mindless to waste time on until the next real installment. I was totally fine with this movie. The villains were mostly weak, except Walter Goggins, who turns in a performance that I enjoyed almost as much as Sam Rockwell as Justin Hammer. Well worth a watch, and for me, worth multiple viewings."
38,8,"nice one Ant-Man and the Wasp is an awe-inspiring film. Director Peyton Reed has maintained all the quirks, gags, one-liners & unique action, that made Ant-Man(2015) such a thoroughly enjoyable movie."
39,5,"Had nothing to it It's an ok movie just had nothing to it, the villain was a nobody. The whole movie is just Paul Rudd running around San Francisco. BORING!!"
40,6,"#Movie Review Ant-Man and the Wasp (2018) is a mediocre sequel to Ant-Man (2015). First, I have to point out that I expect every upcoming movie to be better than its predecessor. Unfortunately, this is not the case.Marvel is a slow learner when it comes to villains. This movie suffers from the same issue as Ant-Man (2015). Its villain is uncompelling and uninteresting. You get the sense that you've watched a filler important to Avengers Endgame rather than an impactful stand-alone movie."
41,6,"Flimsy but why not Decent and entertaining summer movie that felt kind of flat. It still has its fun and imaginative moments, but definitely lacks the personality and freshness of the first movie. I guess this has to do with Peyton Reed being alone this time (Edgar Wright was initially in charge of ""Ant-man""). The main plot is actually more interesting this time, even though it's nothing that we haven't already seen somewhere else. That's really all I have to say about it."
42,9,"I would love to see many such films. Throughout Entertaining Ant-Man and the Wasp is an action, Sci-fi, comedy film directed by Peyton Reed and stars Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins, Bobby Cannavale, Judy Greer, Tip T. I. Harris, David Dastmalchian, Hannah John-Kamen, Abby Ryder Forston, Michelle Pfeiffer and Laurence Fishburne with Michael Douglas.The best part of any film is it's script and it's execution and for a film to be successful both should go hand in hand and in this film is pretty much example of how a good movie is to be made.The plot of the film is simple but the execution is superb and will keep you engaged throughout, the film is a perfect example of an action comedy film and the best part is that all the characters have got chance to showcase their talent and non-one has wasted the opportunity.Acting in the film is superb and Paul Rudd had once again proven that no one could've done the character of ant-man with such a perfection. He always shines whenever he is on screen. Michael Peña, Tip T. I. Harris and Dastmalchian provided the comical relief and made a great trio. Michael Douglas, Michelle Pfeiffer and Laurence Fishburne are known talent and were equally effective. Evangeline Lilly was good and Hannah John-Kamen was also surprisingly good. Abby Ryder Forston deserves a special mention as she was very cute and we would love to see her more in future..Screenplay of the film is good and will keep you engaged throughout. Also the humour and funny scenes in between will keep tickling your funny bones. The climax of the movie is predictable but entertaining.Overall I am very much satisfied and entertained after watching this movie and I am very much looking forward for many more sequels. A must watch super hero film."
43,8,Great Great movie it's higher then ant man villian was forgettable but still a pretty decent movie with lots of jokes and fun I think this movie is kinda underrated this movie overall is great loved the scene that he gets big.
44,7,"Fun with no consequences This review contains spoilers.Ant-Man and the Wasp is the sequel to 2015's Ant-Man. The movie starts Paul Rudd, Evangeline Lilly, Michael Douglas and Michael Pena in their respective roles from the first movie. Scott Lang's ability to return from the quantum realm makes Hank Pym and Hope Pym believe that they can retrieve Janet Van Dyne from the quantum realm she was trapped in following events in the past. Scott Lang is placed under house arrest following the aid he gave to Captain America during Captain America: Civil War and must navigate around the law.Ant-Man and the Wasp is an entertaining movie. The charm and the fun from the first movie is here. Paul Rudd and Evangeline Lilly have good chemistry on the screen. The two are able to play off of the funny dialogue they are given. Likewise Michael Pena is hilarious as Luis. His fast-talking explanations and quick cut montages are fun to watch. Likewise there are many situations that are fun to watch like Scott Lang's Ant-Man suit malfunctioning causing him to be child-sized in an elementary school.There is not a lot of action in this movie an the movie does well from this as it can focus on its great leads. Even the side characters like Bill Foster played by Laurence Fishburne are a joy to watch. The effects in this movie have been well-done. This movie looks better than the other stand-alone Marvel movies. The shrinking effects look good. The quantum realm and tardigrades look trippy. The phasing of Ghost looks amazing as it always seems she is in several frames at once.The problem with the movie is its lack of consequences. From the beginning of the movie to the end of its run-time, noting of true consequence happens. Janet Van Dyne is retrieved from the quantum realm and that is it. Every conflict in between is manufactured to make the movie engaging rather than to have it develop organically. For example, the conflict with Ava Starr/Ghost is pointless because Janet Van Dyne is able to help her after she escapes the quantum realm. There was no reason for Ghost to be opposed to the Pym plans from the start as it was always going to be the case that they would help Ghost after they retrieved Janet. The only event of consequence in the movie happens at the end with Ant-Man being trapped in the quantum realm after Janet, Hank, and Hope fade to dust from Thanos' snap in Avengers: Infinity War.Ant-Man and the Wasp is a fun movie to watch. It is recommended to all audiences. However to those expecting a movie with significant plot developments in the Marvel Cinematic Universe, these audiences should look elsewhere.Grade: B."
45,1,meh I mean if you love The Suicide Squad (2021) and think it's the best movie of 2021 then you'll love this. Skip this otherwise.
46,9,"Funny And Fun To Watch One of my favorite MCU films so far, this film combines comedy and whimsy to create a very fun experience.Dr. Hank Pym (Michael Douglas), after the events of the last Ant-Man film, considers the possibility of rescuing his wife from the Quantum Realm. He and daughter Hope (Evangeline Lilly) worked in the two years Scott Lang (Paul Rudd) has been under house arrest to produce the necessary technology. When they attempt to buy the last item needed, they come up against three new adversaries, including a mysterious ghost-like figure played by Hannah John-Kamen.Pym's technology that allows things to shrink or grow is fertile ground for whimsical scenes and wonderment. The writers take full advantage of it in this episode.As in the last episode, Rudd gets to voice many of the comedic lines. But the writers added several other characters who are quirky or inept, allowing for even more humor. One of the funniest scenes involves a reputed ""truth serum"" being administered to Lang's sidekick, Luis (Michael Pena).Like the last Ant-Man film, this one adds little to the overall Marvel story line, but it is quite enjoyable."
47,7,"Heart-warming & great action scenes & funny also I say this is a 7 star because this movie was very cool and funny. My favorite character in this movie in the Ghost aka the bad guy/girl(you people might disagree with me!). It is so cool how the people who worked for this movie did the effects for Ghost/Ava to move and the fazes like in the movie. SO COOL! But also there are other things that I like in this movie. I like the scene where Scott and his daughter, Cassie, played in their house in the beginning of the movie. I like many other scenes too! Also, like how they did the effects to become small or big. I like the scene where Hope and Scott were in the small car where the pigeons are looking at them, it reminds me of a Jurassic Park scene, when Lex and Tim were in the car and trying to turn off the light for the T-Rex not to attack them. Michael Pena is very funny in this movie and he is my second favorite character in this movie. Stan Lee was also in this movie too! Before he died in November of 2018. He was the creator of Marvel. He is an amazing person. This movie is a great action and comedy movie!"
48,1,worse than the 1st! I didn't think anything could be worse than the first Ant Man but they topped it with this one! Only a couple actual funny parts... barely any action at all.. horrible bad guy what a mess! Don't waste your time.
49,10,"AWESOME movie! I finally got around to seeing this movie with my brother last night and it was a complete BLAST! Funny, action packed and just a great all around movie! Now some people...TheBigSick didn't care for it. Read his review and I thought it was a bit harsh. Sorry it not up to your dreary standards or Oscar worthy, but most of America liked it as it cost 162,000,000 to make...made almost half of that on it's opening weekend with 75,812,205 and then the gross of Canada and America coming in at a whopping 216,648,740 and THEN the worldwide mind blowing 622,674,139. Yeah, TheBigSick...this was SUCH a bad movie. I loved the plot, get Hopes mother back after she shrank so small she went into the quantum realm, how the story continued for Scott after the whole Civil War movie...and how Scott was put into the quantum to begin with, seeing that in endgame he was freed by that rat at the beginning of that movie. It tied up a bunch of loose ends for me. Watch this movie! You won't regret it! Peace!"
50,7,"Refreshing Ant-Man and the Wasp was lighthearted and fun. Coming off the snap at the end of Infinity War, this film was refreshing. It goes back to the tried and true MCU formula of mixing humor (truth serum) with fun action sequences (the car chase). My main complaint about Ant-Man and the Wasp is the excess of ""bad guys"" chasing after Scott and a lack of real tension. Still, the film was a solid entry and Paul Rudd shined. His genuine nature and likability elevate this film higher than it would have been without him."
51,6,"Downgrade from the first, which wasn't much better. Such a shame, as Paul Rudd is a fantastic protagonist. In fact, this movie, along with the previous, arguably has the most likable group of actors out of all the MCU movies. However, unlike the first, the pacing in this one was pretty terrible. Overall, the screenplay is pretty poorly written outside of clever jokes here and there. A few of the plot points were either inevitable or completely unnecessary. I was shocked to learn that a third movie is on its way. I'm hopeful that they can learn what works and what doesn't from these first two films. Mostly, I hope that they love on from this main plot that the two movies overall focus on."
52,8,"Ant-Man and the Wasp By no means is this one of the best Marvel movies, but just like the first one, it is a more kid friendly, light hearted action-comedy, and I love that. This movie had to follow Avengers: Infinity War, so naturally it was going to be a step down, but this movie did what it needed to do to set up Avengers: Endgame with Ant-Man being in it. I have already seen all the Marvel movies, I am just rewatching all of them before Black Widow, and after watching this one again, I can see that it is very important. It gave us a deeper understanding of the quantum realm, and something that I won't spoil happened that sets up Endgame. This movie was also a good movie in general. I thought the plot and story were pretty cool, and we got the usual laughs we get from this crew. We also got to see some more of something I liked in the first movie, it was Scott's relationship with his daughter. It is something we have only seen with Scott in the MCU so far, and we got to explore more of that in this movie, something I wanted after the first movie.Personally, I think this movie was better than the original, this one had good laughs, light hearted ness, it was kid friendly, and it even had some good action. Just like the first movie, I recommend this for a family movie night.*Warning* If this is your family movie night pick, don't watch the first Credit Scene, littler kids may not like it."
53,10,Antmann This is SUCH a funny film annnnnd cant wait for Antman 3!
54,3,"One of the MCU's weaker efforts Overrated, and I've enjoyed most of the recent MCU films. This one, however, was too uneven in pacing, too unimaginative in filmmaking, and too flat in humor besides admittedly a few amusing moments. Edgar Wright would've injected so much more life, timing, cinematic craft and clever writing in these Ant-Man flicks."
55,4,Ant-Man and the Wasp was a boring movie The story of this movie was very boring. It's very forgettable. One thing I like about the movie is the once again perfect cast and performance.
56,1,"Insipid, vile. Ugh such a pain I couldn't even watch the whole thing; I was leaving the room and coming back like a Jack-in-the-Box. Ughhhhhh... It's like a comedy that can't commit to being funny, a drama that can't commit to being dramatic, an action movie that can't commit to action scenes, a video game that can't commit to being played. It's everything but also nothing. A homogenous glop, the same spit-up that the Disney/Marvel/Star Wars assembly line has been force-feeding its customers.Thank goodness there are other movies to watch."
57,9,"Lighthearted, fun to watch I watched this movie as a part of my marathon to see all the MCU movies after Infinity War came up. Technically Infinity War was as far as I was going to have my marathon, but by the time I reached that point, this movie had also come out. So I saw this also. It felt a bit out of place considering there were two very heavy movies one after another (Black Panther and Infinity War), because of which it looked like a balloon compared to those anvils. But at the same time it was at least better than Captain Marvel so it gets some browny points from my side.Ant-Man and the Wasp is a very hilarious movie to say the least. I just love how the Ant-Man series always shows things to look very dramatic when they are tiny but they are actually very miniscule events when it happens in the real size. There are many emotional scenes too, as the premise of this movie is entirely about Scott trying to find the Janet, Hank's wife whom he presumed dead after all these years since they last went on a mission together. The very beginning of the movie itself begins from an emotional scene with little Hope saying her final goodbye to her mother. She is occasionally contacted by a ghost as a part of her dreams, which later turns out to be her mother.Meanwhile Scott has been put under house arrest for being on Captain America's side in Civil War. So he has to manage looking like he's at home while he's out there saving the day. I really liked how the bad guys literally steal Hank's office by just shrinking it, picking it up and walking away. The bad guys are also comical, especially the Indian one who says ""This is not truth serum! There is no such thing as a truth serum!"". The comedy scenes in the movie completely outshine the sad scenes, which I can say with a guarantee since I watched this movie 2 years ago and I only remember the good parts of it.There are of course a couple of things I didn't really like in this movie. First of all, the regular MCU problem - a dozen jump cuts in every fight scene. Why do they have to do this? All the fight scenes would havelooked not just cool, but even iconic if they didn't do that. Secondly even the dire moments get overshadowed by the funny moments when they don't have to be. Like when Hope finally meets Janet there is a joke immediately after. I get the movie is trying to keep the ""Ant-Man"" touch to it constantly, but this is going too far. And lastly, the post credit scene was so awesome, but it got ruined in Endgame. I know it's not this movie's fault but rather Endgame's fault for doing that, but these movies were planned together so if they knew this would have such an anticlimactic end they shouldn't have done it.I can absolutely guarantee you that Ant-Man and the Wasp will only leave you with good memories. There is no absolutely bad thing that happens in it, and it manages to retain the humour, cinematography and sotryline that one would expect from a Marvel Cinematic Universe movie."
58,6,This movie This movie made no sense with its plot. The movie try's to have like able characters but it dose not hit.
59,8,"What Was Needed After Infinity War This was the perfect movie to be released following Thanos defeating the Avengers. And that's not me saying this movie is perfect, as it is far from perfect, I'm just saying this movie was very fun, light, and warm-hearted, which was what we needed after Thanos winning. Also, unlike most people I think this movie is on-par with the first one, and I think the cast and story are just as good. Overall, this is a very fun and light-hearted movie.7.6/10."
60,3,Why to give up Pretty good but then end just gave up in a sea of liberal wimpyness and sad loserness. Of course it's al the cops fault and the criminals are just misunderstood.
